Date,BCOMTR Index,LF98TRUU Index,LUACTRUU Index,LUATTRUU Index,SPXT Index
3/11/1996,134.01,,801.99,776.09,826.65
3/12/1996,134.794,,800.54,774.76,822.87
3/13/1996,135.37,,800.21,774.52,825.14
3/14/1996,135.46,,800.21,774.6,828.15
3/15/1996,135.904,,796.24,770.69,828.9
3/18/1996,137.621,,798.35,772.18,843.44
3/19/1996,137.482,,799.24,772.88,842.22
3/20/1996,137.947,,802.72,775.93,840.02
3/21/1996,138.662,,804.59,777.19,839.05
3/22/1996,140.053,,803.21,776.17,840.9
3/25/1996,140.836,,807.18,779.3,840.15
3/26/1996,140.983,,807.02,779.14,843.94
3/27/1996,140.805,,802.24,775.15,838.95
3/28/1996,139.644,,799.16,772.8,839
3/29/1996,139.991,426.85,802.94,776.22,834.55
4/1/1996,141.357,,804.4,776.9,845.2
4/2/1996,141.938,,806.88,778.84,847.35
4/3/1996,141.877,,805.84,777.83,848.17
4/4/1996,143.016,,803.59,776.13,848.21
4/5/1996,,,793.71,768.37,
4/8/1996,144.484,,791.87,766.89,833.47
4/9/1996,144.21,,794.44,769.14,830.84
4/10/1996,146.728,,791.71,766.89,819.62
4/11/1996,148.287,,789.78,765.5,816.7
4/12/1996,147.46,,797.65,771.63,823.86
4/15/1996,147.352,,800.22,773.49,831.33
4/16/1996,144.893,,800.7,773.49,834.58
4/17/1996,144.999,,798.85,772.09,830.31
4/18/1996,145.697,,796.93,770.7,832.92
4/19/1996,146.004,,799.01,772.64,834.81
4/22/1996,148.145,,801.66,774.65,838.46
4/23/1996,149.368,,800.78,774.11,843.25
4/24/1996,149.154,,798.77,772.64,841.46
4/25/1996,149.587,,799.09,773.1,844.96
4/26/1996,149.505,,800.3,774.19,845.83
4/29/1996,148.781,,798.85,773.1,846.76
4/30/1996,146.847,427.79,796.28,771.25,846.85
5/1/1996,148.183,,796.05,771.16,847.49
5/2/1996,147.47,,788.64,765.53,833.12
5/3/1996,148.245,,786.18,763.75,830.89
5/6/1996,148.174,,788.48,765.45,829.91
5/7/1996,149.577,,788.01,764.91,826.63
5/8/1996,150.403,,791.43,767.53,835.28
5/9/1996,150.148,,791.03,766.91,836.37
5/10/1996,149.865,,795.57,770.54,845.07
5/13/1996,151.1,,797.25,771.7,857.44
5/14/1996,150.823,,800.19,773.93,862.89
5/15/1996,150.546,,800.99,774.39,862.79
5/16/1996,149.739,,798.28,772.31,862.14
5/17/1996,148.761,,800.91,774.24,867.76
5/20/1996,149.82,,802.5,775.47,873.34
5/21/1996,148.834,,801.55,774.86,872.85
5/22/1996,149.571,,803.54,776.4,880.31
